,ID,20150720_N,20150602_N,20150517_N,20150501_N,20150415_N,20150330_N,20150314_N,20150226_N,20150210_N,20150125_N,20150109_N,20141117_N,20141101_N,20141016_N,20140930_N,20140813_N,20140626_N,20140610_N,20140525_N,20140509_N,20140423_N,20140407_N,20140322_N,20140218_N,20140202_N,20140117_N,20140101_N
544,545,1432.09,1156.34,1109.85,1173.57,1360.31,1411.95,2070.61,1776.97,1914.45,1719.75,348.748,2408.04,1975.27,2252.37,2153.87,508.299,1020.57,2427.43,1914.87,1613.07,1636.38,412.294,509.863,725.194,2246.04,1902.65,369.629
545,546,1671.33,1635.12,364.919,1618.07,1353.78,1385.01,1607.95,1290.17,807.727,1739.63,732.157,1774.51,760.889,2153.73,2109.99,726.655,635.062,551.644,1599.66,1465.03,1120.9,438.021,500.129,423.906,1174.12,855.762,372.037
546,547,2144.71,1850.42,1720.14,2004.93,1011.67,1298.26,1489.93,1382.86,2141.03,1029.79,752.362,1300.23,1151.52,846.2,2090.58,747.056,2054.43,2652.56,2035.36,2013.73,488.105,1743.91,1799.48,1341.33,1681.45,1643.05,1912.23
547,548,3176.04,3371.85,3549.8,3575.23,3568.84,3696.84,3388.29,1643.41,2906.65,1544.18,448.209,1136.18,1872.83,2034.82,606.592,582.417,1325.13,2065.85,1910.7,1330.1,1944.64,1019.99,910.11,813.252,2835.36,1425.24,474.683
548,549,4027.57,4061.5,4102.42,4978.08,3445.15,3778.36,4162.6,2740.23,2614.22,3416.59,2790.01,3323.31,3225.42,4397.65,3017.34,1099.88,2021.15,4444.3,3749.61,3341.99,887.844,1595.76,1792.73,1096.82,4253.65,3989.1,532.746
549,550,1293.85,895.666,692.472,845.997,1329.76,1016.15,964.313,559.674,838.426,892.835,607.244,912.452,1540.68,1362.01,1443.08,524.13,1414.49,970.666,1521.03,1037.33,1207.96,1163.66,1187.53,536.615,706.271,2182.75,2295.62
550,551,3318.48,3141.5,293.119,3001.86,773.362,3396.67,882.082,451.592,252.742,1947.16,369.578,1390.85,411.769,901.212,2120.85,698.187,502.694,997.572,2266.63,2611.2,387.315,298.588,355.958,294.934,2268.75,775.681,441.489
551,552,2522.65,2060.6,2065.8,1646.22,2325.48,2274.61,2257.06,2506.45,2419.3,1785.49,461.845,2701.52,2315.26,550.803,731.231,854.574,1545.46,3371.37,1223.42,1728.82,2364.66,1276.6,672.176,1024.0,2825.83,1878.68,617.318
552,553,5825.34,5800.81,3472.9,4476.04,770.425,3659.4,877.17,4822.18,4125.52,5276.58,928.437,4611.83,3097.6,6909.75,4375.83,704.385,3204.54,827.392,4200.0,3260.82,1168.74,1122.15,1943.29,4907.24,3851.86,1897.04,495.133
553,554,1200.16,1326.81,693.069,1330.08,1216.9,925.948,1233.82,1031.73,458.691,1102.12,582.025,1471.96,415.69,1410.97,1156.07,662.42,631.973,497.651,1235.03,1345.78,1187.84,408.217,479.331,489.576,1153.37,73.4127,349.388
554,555,3321.46,2982.51,1621.74,2617.25,2671.31,2891.05,2789.01,3443.24,2761.63,3474.5,538.176,3429.7,3477.57,3843.46,3583.17,667.317,2062.9,564.825,2863.79,2415.4,2650.48,1759.31,893.398,1224.67,2569.88,3736.15,3305.04
555,556,4494.2,3789.64,3994.63,4721.04,1386.74,2829.85,5125.14,5888.61,4484.62,5780.36,1010.26,6147.96,4286.77,1965.67,5352.17,620.457,1989.56,3910.71,4467.92,3971.15,1707.98,1849.73,3048.53,1095.92,5664.86,1038.35,428.631
556,557,2128.09,2700.97,2504.66,2454.08,2417.43,2696.2,2441.34,2103.67,2059.44,1111.91,493.811,1629.5,2352.35,1940.26,883.602,768.494,1492.4,2568.82,2800.72,1357.59,2206.9,1121.28,704.309,995.065,2739.73,667.213,447.272
557,558,6765.61,5768.99,4275.03,4541.17,4557.82,4852.06,4553.1,5306.81,5955.99,6346.23,798.613,6556.51,6214.43,7318.75,6811.8,628.461,3541.01,4083.61,2245.8,2075.32,2386.02,1915.44,2375.72,534.342,2664.53,831.747,408.984
558,559,3586.13,4347.17,1043.5,3327.25,3667.26,4052.69,3702.21,2021.8,352.326,3142.0,540.676,2877.72,1641.63,3921.65,3647.46,757.883,617.457,449.894,3449.62,3730.07,2006.06,450.05,417.873,427.623,3819.13,581.525,373.54
559,560,6306.82,1931.43,1961.09,1775.55,2070.06,1825.67,1921.76,1880.28,1588.38,2547.42,661.301,2883.9,2599.66,2936.59,2402.47,1748.66,4200.67,5823.43,1881.98,2203.36,856.275,2038.57,1711.6,379.838,1867.02,2205.83,2211.07
560,561,2635.82,2301.28,2043.73,1900.17,849.779,2292.56,644.418,2135.76,2504.92,2251.07,1133.56,1330.23,2363.15,2416.48,3097.03,812.944,1935.69,2194.25,2413.84,2174.77,1196.47,1681.11,830.325,1991.49,1965.84,2220.88,1760.02
561,562,5100.34,2438.69,2139.61,2241.09,2578.85,3127.68,3291.08,3998.06,4381.75,4021.15,322.469,4327.46,4199.72,2625.73,5225.68,447.67,1011.46,4879.43,1073.0,1775.17,688.026,666.461,432.877,388.31,3464.0,460.426,351.092
562,563,1866.58,807.263,900.373,1045.93,828.316,1057.49,970.239,867.809,1120.57,1627.8,351.751,677.474,1416.1,890.781,1096.64,642.062,1713.74,1339.5,2298.07,1482.54,1382.27,1078.45,421.781,485.949,787.888,1768.46,518.472
563,564,596.689,2409.95,304.579,553.046,1345.67,1617.2,1966.18,589.308,1833.45,1271.16,509.443,778.252,716.635,607.438,737.627,1259.76,1936.95,1889.44,1482.69,1313.82,2310.68,372.109,249.458,384.223,1815.02,773.66,1259.54
564,565,4002.67,2610.92,2788.32,2430.91,2727.76,2796.01,2179.85,691.328,3664.14,3679.53,4743.12,4976.6,851.449,765.797,4872.67,3160.14,3611.63,3799.59,3352.86,2072.63,1246.26,1392.36,998.689,3262.26,3371.97,713.729,4474.82
565,566,875.852,1044.8,935.726,1349.62,1191.62,948.962,1703.16,894.877,832.352,752.05,1077.61,1507.99,1079.53,1222.13,1143.27,1085.36,2156.06,1792.71,2110.19,1016.18,1116.91,448.03,1818.92,1070.7,1161.06,1697.97,394.633
566,567,2950.85,2973.32,242.828,2903.37,3245.36,3240.9,3999.45,546.015,5189.7,2845.81,431.512,728.926,630.645,2806.84,888.827,605.402,1840.24,2196.23,949.307,2747.96,307.23,402.341,437.062,196.961,3851.83,968.055,742.998
567,568,3061.39,2447.4,2419.02,2475.49,2659.4,2655.36,2531.95,2849.9,2874.17,2158.39,968.993,3105.26,3004.26,3291.35,1052.3,784.016,1411.92,750.464,2336.82,2202.39,2033.48,1024.9,1204.51,1542.88,2588.89,3029.81,1053.23
568,569,1485.82,625.555,695.97,788.406,1105.31,952.436,1116.49,997.391,873.178,1177.62,744.713,1574.39,1698.54,1625.03,1204.46,405.788,1740.62,1534.39,1921.66,1477.99,1519.06,1832.54,743.527,641.508,1232.72,1120.9,1374.37
569,570,4458.48,2495.69,539.486,2840.17,2710.97,3343.82,2401.09,1297.69,2564.58,4738.03,4141.78,3950.93,4663.65,1750.11,2744.39,2550.87,1528.61,5421.19,1160.37,2968.06,1741.85,433.942,1918.47,345.852,4269.78,2083.98,1489.87
570,571,7261.95,4906.96,149.357,4469.15,4737.6,5261.18,751.503,421.088,7371.43,7790.67,421.631,2279.52,2432.89,3065.88,5923.02,1578.87,3976.6,3784.53,4926.16,3416.74,1411.01,355.701,473.197,398.856,7276.86,1285.69,1056.55
571,572,1137.23,430.643,391.448,820.586,1133.24,1402.05,115.329,683.452,1047.0,780.727,328.461,624.804,48.2935,555.846,541.235,768.563,1214.74,1281.87,1070.11,725.456,855.208,396.225,313.758,255.455,942.906,625.0,876.893
572,573,3202.38,2707.98,2746.8,2734.06,1433.35,3160.42,2991.3,2893.7,308.234,564.483,1807.04,3318.26,503.179,2558.61,3020.95,859.916,2861.71,3164.11,924.311,3169.06,3020.0,2474.43,1180.84,360.835,2374.29,1709.44,1392.14
573,574,5319.06,3367.86,3658.03,3550.13,326.861,3936.88,3505.07,2981.13,3919.4,4593.38,3076.59,896.52,3614.97,1823.72,3838.28,1651.4,2766.29,3160.69,3460.87,2476.75,3272.14,2800.65,2555.98,491.119,3601.81,2615.55,2358.73
574,575,3135.22,1903.51,1322.97,2110.88,1288.72,2267.66,1915.84,2504.98,2012.77,1528.6,331.898,2438.6,2089.94,2319.85,1819.77,541.68,955.31,1855.74,1712.58,1903.3,1480.4,310.555,436.36,509.616,2485.59,2190.24,365.255
575,576,4693.4,1866.69,1728.37,748.277,330.831,2393.02,847.88,1457.89,4254.18,3538.07,4363.82,5580.45,3345.9,2094.67,4806.85,959.819,3933.0,2588.69,2583.61,2246.76,1347.36,2818.25,1802.63,1452.47,3096.56,3886.53,5286.83
576,577,1672.81,873.627,366.421,1411.38,1427.92,1549.37,1623.9,414.014,1317.67,1336.63,442.562,751.417,1126.66,1310.68,1013.1,516.328,607.176,1304.45,1529.95,1598.71,399.819,311.167,307.018,273.388,1488.66,904.135,408.72
577,578,2371.99,1844.43,1398.87,1558.86,441.979,2141.41,230.707,1758.97,2431.92,3176.86,1743.54,1630.78,1306.34,1543.23,952.863,1533.66,1995.75,2212.77,1053.09,1417.65,1482.96,421.611,2230.72,638.74,2675.28,3214.69,432.573
578,579,1144.34,748.168,243.742,1005.26,831.543,702.912,730.98,648.197,621.102,819.323,291.798,693.077,72.669,1102.33,533.094,544.896,589.783,696.163,666.575,673.41,577.664,389.373,327.882,298.292,528.38,581.938,1036.36
579,580,1325.18,2041.02,281.562,1487.13,928.393,1839.43,527.372,202.408,1498.31,1042.08,445.865,610.605,427.536,698.085,636.856,564.66,638.398,2112.86,1576.1,709.845,245.363,170.482,350.496,305.521,1688.74,1279.25,526.377
580,581,1117.64,793.353,885.436,662.555,705.261,1014.3,852.096,543.493,1011.32,1137.97,548.922,681.834,947.721,725.486,611.3,809.697,1059.2,730.497,1474.09,1265.58,1291.95,1049.39,996.962,727.115,630.48,696.968,740.669
581,582,4249.63,4059.44,414.925,2064.87,3630.77,3424.73,2371.22,1289.93,3219.55,3614.84,396.572,841.669,441.879,1006.15,512.26,613.066,714.213,4761.12,3834.37,3475.54,1083.19,469.362,364.527,258.922,3022.47,2203.22,2454.35
582,583,1437.12,1616.64,1568.21,1409.33,1448.91,1242.77,1708.24,1315.52,625.845,1700.41,761.247,1698.78,1407.53,1754.82,1719.7,463.093,632.945,1328.04,1715.83,1476.02,1240.8,470.466,523.254,410.417,1523.71,510.042,472.443
583,584,4321.99,3575.99,184.362,3596.36,3437.66,3323.83,525.238,654.43,4051.94,4117.29,350.511,1754.98,4437.11,2369.86,3554.13,1257.38,1135.69,2360.27,3398.35,2404.04,1210.24,318.113,514.016,460.293,4080.97,1889.95,1261.09
584,585,1713.06,1336.27,972.232,982.248,693.891,980.537,1416.0,913.886,1140.58,657.748,626.918,2918.04,1355.56,2658.93,1551.05,1816.94,2102.87,1398.81,1616.69,1487.74,681.246,1304.27,385.15,318.721,2150.66,2305.44,2852.17
585,586,1706.38,-62.6958,349.659,558.073,1620.55,1970.6,2037.6,701.922,1751.05,835.422,377.68,757.555,588.19,979.736,1459.15,819.118,509.719,942.029,1211.46,1562.28,287.713,309.476,312.838,278.121,1464.68,267.866,459.491
586,587,292.614,557.377,400.093,449.19,530.629,-70.9919,955.877,708.493,725.723,305.665,171.928,724.771,334.245,803.713,776.446,515.074,580.665,142.45,515.362,430.03,-85.5278,270.847,467.54,280.111,689.061,70.1048,457.878
587,588,1159.18,620.023,276.166,1344.96,758.88,927.739,545.385,574.829,805.919,688.4,335.216,626.75,356.598,482.193,829.85,955.283,1032.03,1556.39,887.303,1620.69,404.587,552.039,309.868,391.365,1124.82,837.761,623.503
588,589,2320.59,2152.69,1327.81,1550.38,728.108,901.974,717.157,2395.63,1652.12,2575.36,945.404,3067.26,2683.65,3072.52,2290.04,710.908,2664.2,1027.56,2381.14,1699.39,749.373,1188.17,1480.51,2140.45,731.707,1957.37,453.76
589,590,582.121,267.913,38.8549,95.5299,419.446,45.6103,343.329,-109.571,722.425,56.421,501.392,-1.94571,410.375,1184.99,279.121,418.255,542.869,458.023,931.483,375.681,1159.99,453.898,389.417,270.781,238.686,527.429,456.517
590,591,7567.72,7684.52,7090.26,6798.06,2858.18,7087.74,6843.92,5427.44,1004.79,7310.08,635.934,8180.39,2254.77,8057.28,535.749,897.12,1941.13,801.845,6240.45,4914.87,4351.94,1028.79,1093.61,5415.8,7703.19,6805.73,767.118
591,592,1498.18,1406.49,1469.79,1271.41,1192.52,1453.23,1157.44,751.89,205.471,858.539,607.703,1370.29,967.67,1623.17,688.953,645.826,1258.08,1372.9,1855.83,1542.16,1744.85,1231.8,1362.34,1196.14,1327.74,324.041,1157.34
592,593,1792.19,1502.08,491.051,1612.39,676.982,1589.51,1634.41,1198.43,109.661,862.534,483.484,1161.47,458.079,1389.57,1548.04,1513.83,872.895,1984.62,1800.57,1639.7,664.177,281.559,441.404,400.587,1520.32,414.394,1158.58
593,594,3058.11,2489.36,2474.26,2318.52,2853.68,2864.11,2749.9,2788.31,2744.81,2872.21,757.459,2983.54,2472.01,2545.17,2579.05,427.921,553.038,2789.49,2375.78,2554.09,1841.84,335.957,347.178,381.334,3385.67,718.492,397.589
594,595,1538.18,1255.91,293.877,1412.54,1213.93,1417.98,1459.2,787.622,1103.37,949.94,404.829,559.751,740.336,1200.46,1454.08,685.441,633.558,1267.65,1369.1,1345.75,489.791,220.755,484.185,252.711,1380.39,1075.44,433.543
595,596,3119.18,3631.64,267.894,2515.07,2719.45,3356.59,2166.25,1375.18,3047.54,2608.09,418.075,1072.26,976.184,1265.45,1268.43,704.487,2518.04,3518.54,3318.15,2320.46,458.961,368.694,474.04,302.69,2201.41,1380.97,361.733
596,597,500.932,849.648,427.137,674.059,1268.31,665.316,987.553,409.798,606.061,1338.14,507.249,2923.6,3098.57,3801.37,949.7,1683.47,1676.23,1812.71,1782.18,1781.04,592.779,1279.16,471.168,387.866,1847.58,1874.63,2045.72
597,598,2570.33,1632.79,1359.74,1598.16,1223.48,2157.58,2383.96,2183.13,2013.19,1771.02,386.968,1676.75,1731.07,2899.09,2438.44,525.783,894.694,2943.76,2287.03,1807.33,1595.54,537.204,470.155,472.466,3054.61,1537.89,377.614
598,599,1146.79,833.163,1466.41,689.563,1096.99,941.476,489.949,558.424,1299.07,1015.8,1288.56,687.898,1054.78,913.146,1107.81,836.119,1521.96,2351.19,2030.64,1404.76,721.008,1938.9,342.23,103.273,285.04,2405.14,795.675
599,600,2920.54,5482.74,316.913,5624.72,679.953,5223.0,3802.33,407.162,3876.24,3719.12,356.097,2275.18,442.272,869.752,3706.85,833.548,1428.17,6130.99,4939.91,5654.83,522.041,687.826,358.567,467.138,4504.48,794.748,679.338
600,601,3084.46,3153.22,3150.74,2823.48,2080.01,2734.13,1233.54,2582.39,3370.69,2809.01,2736.07,3883.15,3510.66,3111.38,502.807,938.149,2217.41,3941.91,2111.93,2519.37,1680.6,1514.05,1370.31,2672.73,2965.52,2672.09,1172.43
601,602,1562.29,1249.96,809.109,1074.74,1214.45,1011.46,808.198,-276.326,-5.40166,1495.39,491.686,1912.52,1333.69,1761.82,500.982,923.38,1204.9,1319.81,1967.2,1281.79,1498.86,1147.93,1008.68,1004.28,382.462,348.937,834.062
602,603,1543.78,313.449,739.625,586.216,532.295,433.627,844.004,1094.56,1388.02,828.04,578.028,1442.35,1080.52,948.16,412.593,763.6,1373.02,551.77,1191.28,1226.78,1250.2,1265.26,958.098,1200.52,603.266,689.922,1063.62
603,604,1382.84,2205.81,1904.47,1095.91,1125.34,797.825,1084.54,870.264,745.01,1985.5,860.21,1538.9,956.273,768.13,3282.82,634.946,2361.44,2252.02,1901.99,1592.06,402.307,907.389,518.483,2037.01,966.594,918.521,659.858
604,605,1693.05,1819.24,859.326,1759.45,1050.81,1737.95,1475.58,2064.95,360.236,1722.17,2241.86,1662.0,432.51,1281.38,1689.43,2133.98,685.94,2312.2,2015.78,1058.92,1795.08,344.704,979.317,261.736,1463.26,1493.72,579.409
605,606,2920.65,484.491,1301.8,2541.44,2115.79,1871.9,2079.82,2367.02,1182.7,1248.42,1957.24,2111.73,347.814,901.948,1731.66,1665.51,663.757,1717.89,2049.81,1832.39,1761.17,289.012,662.652,350.032,2505.85,752.614,453.534
606,607,1701.2,1241.18,802.898,1169.38,1634.49,1586.51,1502.67,1471.93,1210.15,3035.33,3517.11,3340.01,3212.21,2229.25,2707.25,2491.36,1588.31,2397.84,1759.24,1234.26,1746.48,417.187,1352.06,269.968,2214.25,2099.04,1124.69
607,608,4672.13,947.082,2977.66,4240.57,4743.17,4962.17,4553.92,1957.01,2510.36,2045.32,2032.43,3341.04,332.526,1538.7,2533.12,1520.2,889.223,4983.38,3941.2,4720.97,2843.95,396.616,715.757,357.727,2818.68,928.157,913.131
608,609,1200.3,648.781,498.256,694.687,370.259,360.273,589.255,-147.392,721.851,1184.16,428.277,779.038,825.328,785.447,761.003,790.482,1065.83,1415.57,1120.1,951.48,598.06,320.944,358.062,336.673,404.007,568.774,363.597
609,610,1170.98,-416.926,336.864,877.506,584.992,1012.57,644.015,473.721,1170.94,893.424,583.959,664.643,414.805,675.937,577.691,693.17,820.276,844.298,1040.77,10.2001,573.456,409.02,315.427,296.124,889.591,1005.03,365.203
610,611,897.368,890.655,429.846,893.302,735.877,927.29,771.348,604.206,835.981,1044.71,351.047,944.107,494.663,1074.92,975.804,627.951,578.726,987.124,1082.92,939.87,583.454,267.263,716.663,310.241,765.753,1141.28,288.056
611,612,6349.28,5812.43,5164.03,5590.23,3434.73,3393.28,2327.33,5099.89,4273.89,6123.88,2301.37,5389.49,4436.01,3691.22,2222.02,840.844,1693.44,3533.33,2470.78,2722.32,2092.03,2053.35,977.228,4019.68,3474.32,2925.72,2668.64
612,613,1735.42,1059.5,257.951,1795.23,1516.53,1507.22,1511.92,586.834,1445.12,830.59,589.898,961.41,491.628,1583.79,905.781,587.831,664.122,986.111,1298.11,1999.54,344.387,391.926,563.94,328.946,1518.23,779.674,450.471
613,614,2840.18,2339.92,647.897,1871.9,2308.49,2332.14,1761.21,1588.65,798.795,2075.33,567.677,1699.0,1817.93,2300.09,1937.05,947.867,669.184,1740.41,2231.9,2070.6,1288.58,424.261,411.762,479.083,1996.74,441.344,306.314
614,615,1392.55,1858.53,183.78,-66.5191,1209.01,1090.06,1297.01,640.887,1284.58,1421.63,609.449,911.918,260.341,1252.02,650.353,611.735,1028.46,828.556,989.069,1356.43,1158.96,374.69,374.941,310.184,1118.04,178.862,415.284
615,616,2536.25,1586.92,1085.03,997.024,1321.44,1085.36,1397.54,1301.38,1066.27,1150.05,622.558,2425.45,1883.94,2418.58,2057.14,1688.33,2040.58,767.255,925.789,755.791,757.807,1777.22,1218.95,409.183,1473.2,1117.43,1641.41
616,617,2225.76,420.421,383.49,1976.46,1816.47,1616.61,1781.84,795.064,1803.2,1591.85,471.825,1367.45,1147.63,1656.11,1650.99,1682.16,967.174,2962.36,2400.21,2329.3,900.896,303.981,354.893,377.942,2023.09,378.149,1398.83
617,618,587.497,76.8822,106.598,260.721,1477.98,135.771,460.63,-35.3332,173.594,248.426,1520.0,71.0654,614.732,2185.44,230.708,930.621,1185.73,1539.08,1263.21,447.172,1154.73,1221.9,587.999,477.892,-117.418,457.091,646.245
618,619,1036.46,211.039,245.995,422.347,715.254,632.435,1076.39,509.341,841.152,152.99,417.727,498.852,427.434,727.862,1085.94,802.862,453.182,511.179,752.397,1174.93,-206.616,309.66,403.115,219.003,735.59,586.56,94.2864
619,620,3608.09,2900.82,1844.01,1668.33,1782.03,1793.44,2020.86,1056.49,960.704,2895.36,2099.9,2856.95,3142.12,4350.29,3304.62,909.834,1772.9,841.134,2611.82,2117.12,1492.82,1704.98,1300.01,766.975,1834.21,2390.74,1133.16
620,621,781.31,1374.18,308.213,233.178,468.593,317.772,582.639,439.164,715.37,1378.67,441.137,765.971,556.82,1176.5,602.488,828.799,1532.19,350.166,1327.48,470.798,1229.88,970.522,609.625,733.722,511.701,-176.065,442.655
621,622,1082.69,1055.61,386.7,888.273,1259.19,889.087,604.639,909.376,887.618,964.277,533.158,472.663,198.816,683.621,194.524,722.321,1142.52,923.646,944.19,394.373,824.907,392.284,365.901,421.048,871.425,896.539,426.298
622,623,1835.91,1914.52,279.825,1375.1,2013.13,1439.24,640.451,579.057,2036.18,1469.36,674.232,536.439,750.387,1169.64,1771.17,544.369,609.661,2166.59,2015.3,1421.15,609.781,304.46,509.166,275.732,1337.76,574.122,442.133
623,624,2337.6,843.2,1418.99,1560.4,832.695,419.852,1356.36,2091.04,1729.13,2725.5,1038.28,1471.48,4398.3,7015.55,5923.12,875.803,2489.51,587.38,3643.97,1326.81,3071.52,2629.54,1457.55,392.583,6506.36,3771.91,1360.31
624,625,600.301,480.663,244.01,782.545,589.762,399.697,393.815,521.364,409.235,426.131,339.829,602.336,342.581,600.527,564.281,571.401,963.855,852.915,1045.88,-259.74,763.865,362.594,345.466,240.064,311.188,628.571,474.258
625,626,4450.05,3881.71,3447.06,3461.97,310.955,3148.48,3488.62,4952.73,5526.26,4742.84,3182.06,1986.1,3261.06,773.887,790.187,1494.15,3778.76,4053.19,595.291,2797.75,1049.82,1289.22,2147.34,546.291,3580.69,865.92,1987.36
626,627,3689.48,1224.58,2172.54,2280.62,2516.83,2645.81,2475.42,1885.49,2594.78,1808.47,587.747,2530.69,911.114,3539.5,1269.6,1826.83,1701.96,4575.83,3010.03,3263.71,951.479,1816.32,333.976,341.992,3217.45,3248.93,2463.35
627,628,1962.66,1474.43,389.394,1588.91,1604.25,1788.1,843.356,827.051,946.914,1853.39,340.05,618.44,389.209,820.225,813.624,606.656,762.992,1970.15,2468.44,2089.62,856.259,380.203,330.167,363.899,2291.92,2525.67,3557.76
628,629,1212.24,526.959,385.854,691.801,1003.79,504.979,1041.01,824.397,1211.79,1037.25,486.337,1304.85,738.031,511.97,604.738,771.161,1136.87,814.663,548.765,1302.13,1387.43,1008.35,819.492,771.367,203.574,592.212,551.228
629,630,4417.27,4516.62,2636.75,2234.42,2417.6,2213.26,2882.51,3580.47,3700.75,4700.48,1155.82,1489.99,3990.72,3794.86,5468.88,840.32,2803.07,5221.23,4539.82,2283.73,1323.37,1669.9,2745.84,2166.58,2561.44,3818.49,1722.34
630,631,1314.24,1308.19,333.192,1249.18,1067.35,560.89,492.003,-717.601,854.686,-100.018,500.81,441.831,444.904,609.381,877.815,509.641,695.455,2163.5,858.267,-81.2062,611.469,310.467,377.956,291.397,59.505,519.347,460.083
631,632,1018.78,604.812,154.1,-120.633,764.216,642.824,829.368,486.201,-441.413,229.095,293.724,466.905,212.854,559.891,497.972,1079.56,1225.04,-336.404,1111.48,696.435,420.539,465.186,329.975,282.414,483.768,769.231,751.946
632,633,1485.11,578.726,121.876,2668.87,1460.19,1813.12,1406.19,846.38,1079.72,1554.42,420.628,708.648,779.413,1567.45,1030.92,804.633,1416.53,659.375,1593.32,1554.78,692.792,382.521,448.521,292.076,912.359,859.255,409.383
633,634,2106.37,1478.15,703.92,932.203,1714.22,828.797,1354.55,1809.78,806.331,1207.65,1179.39,916.756,4306.84,3394.84,4188.19,800.615,2522.12,4323.0,4107.98,2800.6,1213.28,1640.58,3562.44,3310.34,3482.16,3734.11,2411.74
634,635,2310.52,1985.9,2168.59,1963.75,2182.23,2115.72,2336.47,2513.52,2330.37,920.431,489.687,1117.32,2254.79,1768.24,560.692,859.067,1548.22,2242.07,1944.94,1452.79,2148.85,1062.91,663.398,614.307,2740.16,1169.68,419.981
635,636,5064.72,1015.94,4405.22,4448.35,4029.15,4204.34,3825.13,4175.05,4010.64,5313.07,625.789,3830.03,1783.84,6783.48,2376.81,1734.82,3502.39,6457.17,995.998,4941.09,881.585,1576.07,1368.34,401.694,5077.42,5228.48,6698.34
636,637,3760.22,3689.42,4497.34,4997.96,3949.41,4847.35,4268.27,5470.67,5497.47,2867.99,362.031,4353.11,5296.01,2251.92,492.48,919.796,1754.31,5559.94,1185.02,1500.87,2552.44,1009.8,1097.02,599.311,5942.69,496.259,452.765
637,638,1018.83,786.334,791.396,859.353,809.917,785.381,876.541,827.094,904.456,613.123,486.099,1023.53,1065.95,1786.24,1154.61,487.372,661.479,1640.46,1041.35,915.344,414.003,411.818,490.145,359.703,1013.2,651.743,517.748
638,639,2693.49,2074.55,456.855,1863.53,2119.65,1824.08,538.488,890.45,2263.16,2232.42,321.513,745.298,590.35,860.941,652.521,559.383,1611.21,2514.51,2288.2,2270.28,974.009,431.284,324.547,351.47,2080.67,1998.14,1819.85
639,640,4117.0,2953.92,2575.17,2943.65,1817.17,3044.47,2658.61,3702.38,823.303,3350.13,2657.32,2915.14,382.409,1952.81,2484.17,1398.23,3035.75,2808.62,1756.11,3038.66,2929.15,3228.81,2129.33,318.21,3260.23,1427.09,2060.63
640,641,2124.26,3288.25,3372.98,6526.73,5266.78,5329.88,4987.03,5397.47,5112.77,1127.3,471.435,477.894,4437.86,1898.75,415.957,915.212,1581.5,2946.3,2228.19,1393.73,1873.65,1114.86,1215.12,835.254,2891.4,1175.61,884.686
641,642,4603.93,2695.7,2868.53,3118.82,1566.26,3183.75,2967.91,1820.51,2686.65,2650.04,590.007,6240.11,2270.21,7103.27,2287.14,1369.23,2583.12,2661.06,2256.56,1296.1,534.003,1039.51,415.543,324.587,906.892,1035.41,1126.93
642,643,6771.06,5035.12,6067.14,6958.75,1617.8,6956.28,4035.87,2356.86,7760.25,7296.69,753.896,3119.79,550.604,2876.39,3679.76,1816.04,3615.16,7578.17,4569.11,6437.79,389.648,963.446,395.221,385.488,7422.75,7503.26,8088.59
643,644,3733.14,980.324,2771.82,3197.62,1570.33,3066.07,2828.05,2036.05,2526.82,3608.85,622.785,3994.16,1539.4,3792.67,1101.73,1629.46,1438.56,3300.45,2879.25,2978.07,961.65,1389.78,331.954,379.018,2476.73,2961.84,2677.31
644,645,5304.51,6218.49,5627.83,5967.47,4975.6,6040.55,3981.62,5942.19,4268.46,6228.25,489.102,6646.51,3252.91,5888.6,1007.36,556.075,2028.21,1194.21,5248.54,3707.44,3820.31,1594.11,964.751,1606.13,4813.92,5591.42,1051.3
645,646,3088.54,2354.57,1982.58,2298.45,2498.21,1979.13,2036.23,2019.09,2131.44,1498.12,860.88,2658.82,2513.22,2549.89,2576.67,581.151,1791.98,2076.54,1685.95,1647.67,2081.62,2255.76,1114.84,416.715,2333.42,2420.69,2773.82
646,647,1357.9,1737.79,371.064,232.912,656.489,483.243,1072.01,1040.62,1400.74,879.075,393.191,739.406,648.07,1243.07,727.028,653.575,773.107,581.876,1150.1,1107.74,1079.58,629.854,295.933,262.164,669.995,815.105,-95.9442
647,648,190.556,-413.197,-704.455,-500.085,-171.313,-90.1651,-110.226,-546.673,-176.222,50.1665,1238.81,-32.5034,405.707,737.97,450.488,679.463,1109.63,1128.82,702.597,72.873,1242.38,108.429,1101.84,-106.117,226.108,1309.0,409.745
648,649,5532.4,1933.42,2804.48,2769.53,3219.24,3152.46,3229.38,4362.62,4664.9,5173.82,943.816,4150.63,2069.22,5231.32,5053.79,1312.46,3468.15,3968.35,3616.35,3096.06,235.621,2692.28,1563.4,444.287,3645.89,3809.93,4688.34
649,650,1361.15,743.086,665.699,949.296,1284.12,1147.8,532.843,-109.89,1429.56,1628.18,522.901,1303.55,2413.41,1640.52,2120.43,758.828,1717.67,353.646,1625.56,1403.43,1725.78,1002.03,926.202,1115.86,800.373,1774.73,963.296
650,651,4572.18,2626.41,2733.54,2443.51,3108.91,3674.82,2821.74,3236.06,3050.46,4045.45,357.869,4809.47,3906.59,2444.84,3959.3,531.273,1274.47,3060.47,3017.42,2338.38,1757.55,574.327,495.599,880.745,2688.34,3344.12,390.072
